STATUS | wrapper  | main    | 2017/10/27 14:05:04.252 | --> Wrapper Started as Daemon
STATUS | wrapper  | main    | 2017/10/27 14:05:04.266 | Java Service Wrapper Professional Edition 64-bit 3.5.29
STATUS | wrapper  | main    | 2017/10/27 14:05:04.267 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | main    | 2017/10/27 14:05:04.267 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | main    | 2017/10/27 14:05:04.267 |   Licensed to SAP SE for hybris Platform
STATUS | wrapper  | main    | 2017/10/27 14:05:04.267 | 
STATUS | wrapper  | main    | 2017/10/27 14:05:04.573 | Launching a JVM...
INFO   | jvm 1    | main    | 2017/10/27 14:05:05.280 | WrapperManager: Initializing...
INFO   | jvm 1    | main    | 2017/10/27 14:05:06.794 | Oct 27, 2017 2:05:06 PM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2017/10/27 14:05:06.795 | INFO: Initializing ProtocolHandler ["http-bio-9001"]
INFO   | jvm 1    | main    | 2017/10/27 14:05:06.795 | Oct 27, 2017 2:05:06 PM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2017/10/27 14:05:06.795 | INFO: Initializing ProtocolHandler ["http-bio-9002"]
INFO   | jvm 1    | main    | 2017/10/27 14:05:07.700 | Oct 27, 2017 2:05:07 PM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2017/10/27 14:05:07.700 | INFO: Initializing ProtocolHandler ["ajp-bio-8009"]
INFO   | jvm 1    | main    | 2017/10/27 14:05:07.700 | Oct 27, 2017 2:05:07 PM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | main    | 2017/10/27 14:05:07.700 | INFO: Initialization processed in 2196 ms
INFO   | jvm 1    | main    | 2017/10/27 14:05:07.902 | Oct 27, 2017 2:05:07 PM org.apache.catalina.mbeans.JmxRemoteLifecycleListener createServer
INFO   | jvm 1    | main    | 2017/10/27 14:05:07.902 | INFO: The JMX Remote Listener has configured the registry on port 9003 and the server on port 9004 for the Platform server
INFO   | jvm 1    | main    | 2017/10/27 14:05:07.902 | Oct 27, 2017 2:05:07 PM org.apache.catalina.core.StandardService startInternal
INFO   | jvm 1    | main    | 2017/10/27 14:05:07.902 | INFO: Starting service Catalina
INFO   | jvm 1    | main    | 2017/10/27 14:05:15.757 | >>> No SAP licenses found in the system. Trying fallback to hybris license.
INFO   | jvm 1    | main    | 2017/10/27 14:05:18.370 | [32mINFO  [localhost-startStop-1] [AbstractTenant] Created master data source DataSourceImpl<<master/master>>
INFO   | jvm 1    | main    | 2017/10/27 14:05:18.472 | [m[32mINFO  [localhost-startStop-1] [DefaultClusterNodeManagementService] Automatic cluster ID discovery disabled. Configured ID: 0
INFO   | jvm 1    | main    | 2017/10/27 14:05:18.572 | [m[32mINFO  [localhost-startStop-1] [DefaultBroadcastService] Started message broadcast service:
INFO   | jvm 1    | main    | 2017/10/27 14:05:18.572 | clustering (enabled:false)
INFO   | jvm 1    | main    | 2017/10/27 14:05:18.572 | sending synchronously - no queue
INFO   | jvm 1    | main    | 2017/10/27 14:05:18.572 | methods [<loopback>::de.hybris.platform.cluster.LoopBackBroadcastMethod@3e6b38f7]
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.076 | [m
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.277 | [32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.277 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.277 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.277 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] Starting up hybris server
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] Configuration:
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] Cluster:     disabled
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] Tenant:      master
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] Mode:        development
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] OS:          Mac OS X 10.11.6, x86_64
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] Database:    Pool: hybris - hsqldb, table prefix: 
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver]              SA - jdbc:hsqldb:file:/Users/ScottGledhill/Desktop/Hybris/Hybrisplatform_only/hybris/data/hsqldb/mydb;shutdown=true;hsqldb.tx=MVCC
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] Platform:    6.3.0.0-SNAPSHOT
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] Java:        Oracle Corporation
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver]              Java(TM) SE Runtime Environment, 1.8.0_74-b02
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver]              /Library/Java/JavaVirtualMachines/jdk1.8.0_74.jdk/Contents/Home/jre
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] VM Locale:   language=en,country=US,region=null
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.278 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] Cache:       RegionCache is not yet initialized. [de.hybris.platform.cache.impl.RegionCacheAdapter]
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.279 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] Server type: tomcat
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.279 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.279 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.279 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] 
INFO   | jvm 1    | main    | 2017/10/27 14:05:19.279 | [m[32mINFO  [localhost-startStop-1] [hybrisserver] ---------------------------------------------------------------
